file_name	sample_id	..filter..
/projects/fmba_covid/fmba_new/corr/020000010808_S3_L001.clonotypes.TRB.txt	020000010808_S3_L001.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000110808_S14_L001.clonotypes.TRB.txt	020000110808_S14_L001.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000190808_S27_L001.clonotypes.TRB.txt	020000190808_S27_L001.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000200808_S181_L002.clonotypes.TRB.txt	020000200808_S181_L002.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000280808_S59_L001.clonotypes.TRB.txt	020000280808_S59_L001.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000330808_S173_L002.clonotypes.TRB.txt	020000330808_S173_L002.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000340808_S82_L001.clonotypes.TRB.txt	020000340808_S82_L001.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000350808_S126_L002.clonotypes.TRB.txt	020000350808_S126_L002.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000360808_S102_L002.clonotypes.TRB.txt	020000360808_S102_L002.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000390808_S189_L002.clonotypes.TRB.txt	020000390808_S189_L002.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000420808_S51_L001.clonotypes.TRB.txt	020000420808_S51_L001.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000640808_S117_L002.clonotypes.TRB.txt	020000640808_S117_L002.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000650808_S11_L001.clonotypes.TRB.txt	020000650808_S11_L001.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000670808_S90_L001.clonotypes.TRB.txt	020000670808_S90_L001.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000700808_S134_L002.clonotypes.TRB.txt	020000700808_S134_L002.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020000710808_S15_L001.clonotypes.TRB.txt	020000710808_S15_L001.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020002240807_S106_L002.clonotypes.TRB.txt	020002240807_S106_L002.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
/projects/fmba_covid/fmba_new/corr/020003020808_S91_L001.clonotypes.TRB.txt	020003020808_S91_L001.clonotypes.TRB	conv:MiXcr,corr:2:0.05:all
