normalization	features	mismatch	weight	fmba_set1/fmba_set2	fmba_set1/adaptive_set1	fmba_set1/adaptive_set2	fmba_set2/fmba_set1	fmba_set2/adaptive_set1	fmba_set2/adaptive_set2	adaptive_set1/fmba_set1	adaptive_set1/fmba_set2	adaptive_set1/adaptive_set2	adaptive_set2/fmba_set1	adaptive_set2/fmba_set2	adaptive_set2/adaptive_set1
top-5000	enriched in COVID	single mismatch	weighted	0.8599033816425121	0.8027079303675049	0.5070656691604323	0.6852791878172588	0.9961315280464217	0.942643391521197	0.6269035532994924	0.4830917874396135	1.0	0.6269035532994924	0.4830917874396135	1.0
top-5000	enriched in COVID	single mismatch	unweighted	0.8272058823529411	0.6476868327402135	0.5769230769230769	0.6332046332046332	0.7704626334519573	0.4844517184942717	0.43243243243243246	0.6213235294117647	0.4950900163666121	0.4691119691119691	0.5955882352941176	0.7188612099644128
top-5000	public clonotypes	single mismatch	weighted	0.8786764705882353	0.8540925266903915	0.6530278232405892	0.6042471042471043	0.7615658362989324	0.40507364975450083	0.43243243243243246	0.6213235294117647	0.8117839607201309	0.48455598455598453	0.4264705882352941	0.8843416370106761
top-5000	public clonotypes	single mismatch	unweighted	0.8713235294117647	0.8078291814946619	0.707037643207856	0.6486486486486487	0.7508896797153025	0.7119476268412439	0.43243243243243246	0.6213235294117647	0.853518821603928	0.4305019305019305	0.6029411764705882	0.8985765124555161
top-2000 public	enriched in COVID	single mismatch	weighted	0.8502415458937198	0.6499032882011605	0.4463840399002494	0.7030456852791879	0.7408123791102514	0.4405652535328346	0.3730964467005076	0.5169082125603864	0.7331670822942643	0.4035532994923858	0.463768115942029	0.8781431334622823
top-2000 public	enriched in COVID	single mismatch	unweighted	0.855072463768116	0.7272727272727273	0.5187032418952618	0.6751269035532995	0.6576402321083172	0.4197838736492103	0.3730964467005076	0.5169082125603864	0.5536159600997507	0.4365482233502538	0.48792270531400966	0.8085106382978723
top-2000 public	public clonotypes	single mismatch	weighted	0.855072463768116	0.7427466150870407	0.45802161263507896	0.6675126903553299	0.7446808510638298	0.4696591853699086	0.3730964467005076	0.5169082125603864	0.8121363258520365	0.44416243654822335	0.3285024154589372	0.8568665377176016
top-2000 public	public clonotypes	single mismatch	unweighted	0.855072463768116	0.7756286266924565	0.4704904405652535	0.6878172588832487	0.758220502901354	0.7464671654197839	0.3730964467005076	0.5169082125603864	0.8146300914380715	0.3730964467005076	0.4830917874396135	0.8704061895551257
full repertoire	public clonotypes	without mismatch	weighted	0.8695652173913043	0.2214765100671141	0.540650406504065	0.5723370429252782	0.24328859060402686	0.5455284552845528	0.4546899841017488	0.6801242236024845	0.4813008130081301	0.45310015898251194	0.6863354037267081	0.8875838926174496
full repertoire	public clonotypes	without mismatch	unweighted	0.8385093167701864	0.22483221476510068	0.5414634146341464	0.5627980922098569	0.25	0.5487804878048781	0.4546899841017488	0.6801242236024845	0.5813008130081301	0.4546899841017488	0.6801242236024845	0.7533557046979866
top-2000 public	public clonotypes	group identical aa	weighted	0.7729468599033816	0.5802707930367504	0.5569409808811305	0.6446700507614214	0.7775628626692457	0.456359102244389	0.3730964467005076	0.5362318840579711	0.830423940149626	0.38071065989847713	0.5072463768115942	0.90715667311412
top-2000 public	public clonotypes	group identical aa	unweighted	0.8164251207729468	0.6305609284332688	0.5652535328345802	0.6700507614213198	0.804642166344294	0.5187032418952618	0.3730964467005076	0.5169082125603864	0.8046550290939318	0.3730964467005076	0.5217391304347826	0.8916827852998066

top-2000 public	public clonotypes	blosum	weighted	0.8743961352657005	0.793036750483559	0.5261845386533666	0.6725888324873096	0.7330754352030948	0.571072319201995	0.3730964467005076	0.5169082125603864	0.7655860349127181	0.41624365482233505	0.3285024154589372	0.8491295938104448
top-2000 public	public clonotypes	blosum	unweighted	0.8792270531400966	0.8239845261121856	0.45054031587697424	0.6675126903553299	0.6808510638297872	0.5253532834580216	0.3730964467005076	0.5169082125603864	0.7896924355777224	0.4137055837563452	0.2995169082125604	0.8607350096711799
