sample_name	feature frequency	cohorts	features
20000010808	0.0222	FMBA_IgM-_IgG+	FMBA_features
20000110808	0.01895	FMBA_IgM+	FMBA_features
20000190808	0.01845	FMBA_IgM-_IgG+	FMBA_features
20000200808	0.01565	FMBA_healthy	FMBA_features
20000280808	0.01075	FMBA_IgM-_IgG+	FMBA_features
20000340808	0.01385	FMBA_IgM-_IgG+	FMBA_features
20000350808	0.01185	FMBA_healthy	FMBA_features
20000360808	0.0187	FMBA_healthy	FMBA_features
20000390808	0.0217	FMBA_healthy	FMBA_features
20000420808	0.012	FMBA_IgM-_IgG+	FMBA_features
20000650808	0.01835	FMBA_IgM-_IgG+	FMBA_features
20000670808	0.01975	FMBA_IgM-_IgG+	FMBA_features
20000700808	0.0108	FMBA_healthy	FMBA_features
20000710808	0.01675	FMBA_IgM+	FMBA_features
20002240807	0.01295	FMBA_IgM-_IgG+	FMBA_features
20003020808	0.01835	FMBA_IgM-_IgG+	FMBA_features
20003060808	0.01045	FMBA_healthy	FMBA_features
20003100808	0.01155	FMBA_IgM-_IgG+	FMBA_features
20003190808	0.01325	FMBA_IgM+	FMBA_features
20003200808	0.0127	FMBA_IgM+	FMBA_features
20003810808	0.01305	FMBA_healthy	FMBA_features
20003840808	0.01505	FMBA_healthy	FMBA_features
20003890808	0.0135	FMBA_IgM-_IgG+	FMBA_features
20003900808	0.0248	FMBA_IgM-_IgG+	FMBA_features
20003940808	0.01325	FMBA_IgM+	FMBA_features
20004000808	0.0153	FMBA_IgM-_IgG+	FMBA_features
20004070808	0.0147	FMBA_IgM-_IgG+	FMBA_features
20004130808	0.0169	FMBA_healthy	FMBA_features
20004200808	0.01175	FMBA_IgM-_IgG+	FMBA_features
50000200808	0.01185	FMBA_healthy	FMBA_features
50000230808	0.01265	FMBA_healthy	FMBA_features
50000240808	0.0129	FMBA_IgM-_IgG+	FMBA_features
50000440808	0.00855	FMBA_IgM-_IgG+	FMBA_features
50000550808	0.0178	FMBA_healthy	FMBA_features
50000810808	0.0117	FMBA_IgM+	FMBA_features
50000970808	0.01145	FMBA_IgM+	FMBA_features
50000980808	0.01315	FMBA_healthy	FMBA_features
50000990808	0.0091	FMBA_IgM+	FMBA_features
50001030808	0.013	FMBA_IgM+	FMBA_features
50001100808	0.02655	FMBA_IgM+	FMBA_features
50001130808	0.01815	FMBA_IgM-_IgG+	FMBA_features
50001190808	0.0123	FMBA_IgM-_IgG+	FMBA_features
50001210808	0.01305	FMBA_IgM+	FMBA_features
50001330808	0.01255	FMBA_IgM+	FMBA_features
50001720808	0.0133	FMBA_IgM+	FMBA_features
50001870808	0.00975	FMBA_IgM+	FMBA_features
50001890808	0.02035	FMBA_IgM+	FMBA_features
50001920808	0.0095	FMBA_IgM+	FMBA_features
50001990808	0.0109	FMBA_IgM+	FMBA_features
50002020808	0.01065	FMBA_IgM+	FMBA_features
50002060808	0.0172	FMBA_IgM-_IgG+	FMBA_features
50002070808	0.0166	FMBA_IgM+	FMBA_features
50002090808	0.01265	FMBA_IgM-_IgG+	FMBA_features
50002120808	0.0141	FMBA_IgM+	FMBA_features
50002290808	0.01115	FMBA_IgM+	FMBA_features
50002630808	0.01635	FMBA_IgM+	FMBA_features
50003120808	0.02215	FMBA_IgM+	FMBA_features
50003130808	0.0122	FMBA_IgM+	FMBA_features
50003450808	0.01555	FMBA_IgM+	FMBA_features
50003560808	0.0145	FMBA_IgM+	FMBA_features
140000540808	0.02835	FMBA_healthy	FMBA_features
140000670808	0.0259	FMBA_healthy	FMBA_features
210000460808	0.0196	FMBA_healthy	FMBA_features
210000470808	0.02645	FMBA_healthy	FMBA_features
210000500808	0.02175	FMBA_healthy	FMBA_features
210000600808	0.02325	FMBA_healthy	FMBA_features
210000660808	0.02395	FMBA_healthy	FMBA_features
210001430808	0.0264	FMBA_healthy	FMBA_features
210001500808	0.01965	FMBA_healthy	FMBA_features
210001740808	0.02625	FMBA_healthy	FMBA_features
210001750808	0.02525	FMBA_healthy	FMBA_features
210001780808	0.0212	FMBA_healthy	FMBA_features
210001800808	0.024	FMBA_healthy	FMBA_features
210001810808	0.02035	FMBA_healthy	FMBA_features
210001870808	0.02	FMBA_healthy	FMBA_features
210001940808	0.02525	FMBA_healthy	FMBA_features
210002010808	0.02325	FMBA_healthy	FMBA_features
210002050808	0.02695	FMBA_healthy	FMBA_features
210002060808	0.02615	FMBA_healthy	FMBA_features
210002120808	0.0268	FMBA_healthy	FMBA_features
210002140808	0.02285	FMBA_healthy	FMBA_features
210002150808	0.023	FMBA_healthy	FMBA_features
210002400808	0.032	FMBA_healthy	FMBA_features
210002410808	0.02345	FMBA_healthy	FMBA_features
210002420808	0.02775	FMBA_healthy	FMBA_features
210002440808	0.02615	FMBA_healthy	FMBA_features
210002460808	0.0324	FMBA_healthy	FMBA_features
210002540808	0.02915	FMBA_healthy	FMBA_features
210002850808	0.02115	FMBA_healthy	FMBA_features
210002860808	0.0242	FMBA_healthy	FMBA_features
210002880808	0.02275	FMBA_healthy	FMBA_features
210002900808	0.0285	FMBA_healthy	FMBA_features
210002930808	0.0254	FMBA_healthy	FMBA_features
